,open,high,low,close,adjclose,volume,ticker
2002-07-01,40.11111068725586,40.72444534301758,40.11111068725586,40.43555450439453,30.88994026184082,3709080.0,LT.NS
2002-07-02,40.5555534362793,40.93333435058594,40.44444274902344,40.53333282470703,30.964635848999023,2500024.0,LT.NS
2002-07-03,40.68888854980469,40.75555419921875,40.022220611572266,40.08000183105469,30.618310928344727,1910772.0,LT.NS
2002-07-04,40.24444580078125,40.377777099609375,39.83555603027344,39.924442291259766,30.499479293823242,1515924.0,LT.NS
2002-07-05,39.79999923706055,40.22222137451172,39.79999923706055,40.022220611572266,30.574180603027344,1038928.0,LT.NS
2002-07-08,40.64444351196289,40.86666488647461,40.0,40.79111099243164,31.16154670715332,1772149.0,LT.NS
2002-07-09,40.88888931274414,41.22222137451172,40.502220153808594,40.61333465576172,31.025745391845703,2892991.0,LT.NS
2002-07-10,40.11111068725586,40.71110916137695,40.0,40.502220153808594,30.940866470336914,1063845.0,LT.NS
2002-07-11,40.42222213745117,40.666664123535156,40.10222244262695,40.155555725097656,30.67603874206543,1413315.0,LT.NS
2002-07-12,40.44444274902344,40.5555534362793,40.08000183105469,40.35555648803711,30.828815460205078,1485990.0,LT.NS
2002-07-15,40.377777099609375,40.377777099609375,39.733333587646484,40.22222137451172,30.726959228515625,2159154.0,LT.NS
2002-07-16,39.5555534362793,40.33333206176758,39.5555534362793,40.057777404785156,30.601335525512695,1652139.0,LT.NS
2002-07-17,39.77777862548828,40.0,39.47999954223633,39.76888656616211,30.380645751953125,1308973.0,LT.NS
2002-07-18,39.88888931274414,40.133331298828125,39.70222091674805,40.022220611572266,30.574180603027344,1634161.0,LT.NS
2002-07-19,39.77777862548828,40.377777099609375,39.77777862548828,40.23555374145508,30.737136840820312,4430164.0,LT.NS
2002-07-22,38.599998474121094,38.599998474121094,37.34666442871094,37.488887786865234,28.638885498046875,2559451.0,LT.NS
2002-07-23,37.511112213134766,37.880001068115234,37.022220611572266,37.43555450439453,28.598148345947266,1543779.0,LT.NS
